id,population,centroid.size_femur,centroid.size_tibia,centroid.size_pretarsus,centroid.size_claw
KLS1_A548,KLS1,7.811489957,8.441593305,4.84784046,3.188740826
KLS1_A605,KLS1,7.823109814,8.454864975,4.478684558,3.289491255
KLS1_A607,KLS1,8.201719325,8.804299583,4.790960149,3.508632036
KLS1_A608,KLS1,7.857503095,8.66561093,4.709548679,3.449208027
KLS1_A609,KLS1,7.94606506,8.602729803,4.778378736,3.321818402
KLS1_A610,KLS1,8.232584322,9.204406975,4.793999142,3.535506805
KLS1_A612,KLS1,7.81835589,8.342464342,4.89644998,3.325988387
KLS1_A615,KLS1,8.149859228,8.996424993,5.046984996,3.433737233
KLS1_A617,KLS1,8.347566664,9.123110609,5.02290338,3.519276163
KLS1_A620,KLS1,8.466660683,8.83641998,4.986119775,3.539937721
KLS1_A622,KLS1,8.263966599,8.893222989,5.093537557,3.783820176
KLS1_A623,KLS1,7.401055142,8.092938907,4.457130874,2.94526175
KLS1_A625,KLS1,7.739205615,8.453315053,4.531118752,3.398420858
KLS1_A626,KLS1,7.624024655,8.573062967,4.828459107,3.274142598
KLS1_A628,KLS1,7.983490137,8.594873366,4.86696805,3.343251385
KLS1_A634,KLS1,7.914390071,8.496613479,4.924757824,3.164669386
KLS1_A635,KLS1,7.77016537,8.491562362,4.787216473,3.397302851
KLS1_A636,KLS1,7.627627603,8.517731212,4.925182995,3.232322081
KLS1_A637,KLS1,7.433636647,7.732997004,4.394581177,3.013495474
KLS1_A638,KLS1,7.376799717,8.19941324,4.441388638,3.065123644
KLS1_A640,KLS1,7.598670819,8.103481807,4.549770089,3.17387734
KLS1_A642,KLS1,7.117596361,7.995531093,4.567032394,3.020543046
KLS1_A643,KLS1,8.250536299,8.767936169,5.373217673,3.477653034
KLS1_A645,KLS1,7.696013437,8.342134968,4.766895553,3.292987697
KLS1_A646,KLS1,7.952981472,8.638083055,4.87755599,3.431901219
KLS1_A647,KLS1,7.924506654,8.690736465,4.743534256,3.256054444
KLS1_A649,KLS1,8.361116115,9.030545017,5.125084309,3.412035456
KLS1_A650,KLS1,8.086333941,8.476736187,4.692806203,3.194161264
KLS1_A652,KLS1,7.533864603,8.366784209,4.686341472,2.980546611
KLS1_A653,KLS1,7.276174489,7.493443545,3.866835368,2.793482957
KLS1_A655_l,KLS1,7.878973326,8.525555681,4.722783399,3.324348344
KLS1_A657,KLS1,7.819431478,8.390955691,4.805146411,3.123167658
KLS1_A659,KLS1,7.753895954,8.490665584,4.831891869,3.280101664
KLS1_A661,KLS1,7.480084657,8.514538141,4.743563757,3.037311154
KLS1_A662,KLS1,7.849381733,8.15289407,4.516364318,3.117147491
KLS1_A663,KLS1,8.036919737,8.520544909,4.814155804,3.25414486
KLS1_A664,KLS1,7.539313383,7.850519671,4.423473698,3.099994958
KLS1_A666,KLS1,7.717931723,8.364218701,4.61590165,3.27874596
KLS1_A667,KLS1,7.707166318,8.477449143,4.636238315,3.174484671
KLS1_A668,KLS1,8.154999443,8.732379446,4.95416565,3.252484369
KLS1_A669,KLS1,7.709022178,8.867187143,4.978968618,3.167657668
KLS1_A670,KLS1,7.936563002,8.546075502,4.56795464,3.338690387
KLS1_A671,KLS1,6.897923359,7.86105671,4.487045861,2.892895613
KLS1_A673,KLS1,7.542674462,8.342103144,4.49034961,3.231450513
KLS1_A674,KLS1,7.925722656,8.268450839,4.80695983,3.360628593
KLS1_A675,KLS1,7.484525833,7.753146622,4.469372647,2.876312143
KLS1_A676,KLS1,7.072790182,7.710274567,4.217604881,2.989905274
KLS1_A678_l,KLS1,7.725096795,8.485728747,4.788964756,3.32436738
KLS1_A679,KLS1,7.50698848,7.959138617,4.335664747,2.94663653
KLS1_A680,KLS1,7.812816895,8.275109366,4.579515657,3.329964741
